world_cup_year,date,stage,home_team,away_team,score_original_home,score_original_away,score_90_home,score_90_away,has_extra_time,has_penalty_shootout,score_corrected,city,country,neutral,verification_source,verification_note
2018,2018-06-17,Group stage,Germany,Mexico,0,1,0,1,False,False,False,Moscow,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-18,Group stage,Belgium,Panama,3,0,3,0,False,False,False,Sochi,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-18,Group stage,Sweden,South Korea,1,0,1,0,False,False,False,Nizhny Novgorod,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-18,Group stage,Tunisia,England,1,2,1,2,False,False,False,Volgograd,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-19,Group stage,Colombia,Japan,1,2,1,2,False,False,False,Saransk,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-19,Group stage,Poland,Senegal,1,2,1,2,False,False,False,Moscow,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-19,Group stage,Russia,Egypt,3,1,3,1,False,False,False,Saint Petersburg,Russia,False,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-20,Group stage,Iran,Spain,0,1,0,1,False,False,False,Kazan,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-20,Group stage,Portugal,Morocco,1,0,1,0,False,False,False,Moscow,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-20,Group stage,Uruguay,Saudi Arabia,1,0,1,0,False,False,False,Rostov-on-Don,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-21,Group stage,Argentina,Croatia,0,3,0,3,False,False,False,Nizhny Novgorod,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-21,Group stage,Denmark,Australia,1,1,1,1,False,False,False,Samara,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-21,Group stage,France,Peru,1,0,1,0,False,False,False,Ekaterinburg,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-22,Group stage,Brazil,Costa Rica,2,0,2,0,False,False,False,Saint Petersburg,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-22,Group stage,Nigeria,Iceland,2,0,2,0,False,False,False,Volgograd,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-22,Group stage,Serbia,Switzerland,1,2,1,2,False,False,False,Kaliningrad,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-23,Group stage,Belgium,Tunisia,5,2,5,2,False,False,False,Moscow,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-23,Group stage,Germany,Sweden,2,1,2,1,False,False,False,Sochi,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-23,Group stage,South Korea,Mexico,1,2,1,2,False,False,False,Rostov-on-Don,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-24,Group stage,England,Panama,6,1,6,1,False,False,False,Nizhny Novgorod,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-24,Group stage,Japan,Senegal,2,2,2,2,False,False,False,Ekaterinburg,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-24,Group stage,Poland,Colombia,0,3,0,3,False,False,False,Kazan,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-25,Group stage,Iran,Portugal,1,1,1,1,False,False,False,Saransk,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
